,disease_category,disease_name,intention,question
0,응급질환,두통,예방,두통 예방을 위해 어떤 자세나 활동이 도움이 될까요?
1,응급질환,두통,예방,스트레스를 많이 받는 사람이 두통을 예방하기 위해 어떤 생활습관을 가져야 할까요?
2,응급질환,두통,예방,대상포진 예방접종 후에 어지럼증과 두통이 예방접종과 관련이 있다면 어떻게 되나요?
3,응급질환,두통,예방,갈색세포증과 관련하여 일상생활에서 신경써야할 점은 무엇인가요?
4,응급질환,두통,예방,두통을 예방하기 위한 수면 자세에는 어떤 것들이 있을까요?
5,응급질환,두통,예방,대상포진 예방접종 후에도 부작용이 있을 수 있을까요?
6,응급질환,두통,예방,두통 예방을 위한 운동이나 스트레칭이 있을까요?
7,응급질환,두통,예방,두통으로 인한 재발을 막기 위해 어떤 예방 수단을 사용해야 할까요?
8,응급질환,두통,예방,두통으로 인한 재발을 방지하기 위한 예방 방법이 있는지 궁금합니다.
9,응급질환,두통,예방,약을 미리 복용하면 두통을 예방하는 데 도움이 되는 방법이 있는지 알고 싶습니다.
10,응급질환,두통,예방,열나고 두통이 있을 때 전신 홍반성 낭창을 예방하기 위해 어떤 약물을 사용할 수 있을까요?
11,응급질환,두통,예방,"두통이 심한데, 수면을 조절하여 증상을 예방할 수 있는 방법은 무엇인가요?"
12,응급질환,두통,예방,두통을 예방하기 위한 효과적인 방법이 있을까요?
13,응급질환,두통,예방,두통과 같은 질환도 예방이 가능한가요?
14,응급질환,두통,예방,두통 예방을 위한 심리적 지원이 있을까요?
15,응급질환,두통,예방,두통이라는 질병을 사전에 예방하는 방법이 있는지 알려주세요.
16,응급질환,두통,예방,두통 예방을 위한 생활습관에는 어떤 것들이 있을까요?
17,응급질환,두통,예방,커피를 자주 마시는 것이 두통 예방에 좋은 이유가 무엇인지 궁금합니다.
18,응급질환,두통,예방,두통을 예방하기 위한 권장사항이 있을까요?
19,응급질환,두통,예방,"두통이 심할 때, 예방적인 방법으로 숙면을 취할 수 있는 방법은 무엇일까요?"
20,응급질환,두통,예방,두통이 심해질 경우에 수면 시간을 조절하는 방법에 대해 알려주세요.
21,응급질환,두통,예방,두통과 같은 질환도 사전에 예방할 수 있는 방법이 있는지 궁금합니다.
22,응급질환,두통,예방,두통 예방을 위해 어떤 식이요법이 좋을까요?
23,응급질환,두통,예방,두통을 예방하는데 가장 효과적인 방법은 무엇인가요?
24,응급질환,두통,예방,두통 예방을 위해 권장되는 방법은 어떤 것이 있을까요?
25,응급질환,두통,예방,두통을 예방하기 위해 어떤 예방 방법이 있는지 알려주세요.
26,응급질환,두통,예방,"두통으로 인해 숙면을 취할 수 없다면, 증상을 완화시킬 수 있는 방법은 무엇일까요?"
27,응급질환,두통,예방,갈색세포증의 증상을 완화시키기 위해 어떤 식이요법이 도움이 될까요?
28,응급질환,두통,예방,두통이 심한 경우에는 어떤 예방 조치를 취해야 할까요?
29,응급질환,두통,예방,대상포진 예방접종을 받은 후에도 대상포진 예방과 관련된 부작용이 나타날 수 있는지 궁금합니다.
30,응급질환,두통,예방,두통 예방을 위해 일상적으로 해야 할 일은 무엇인가요?
31,응급질환,두통,예방,두통 예방을 위해 평소에 어떤 예방 수칙을 지켜야 할까요?
32,응급질환,두통,예방,"두통이 심한데, 숙면을 유지하기 위한 조치는 어떤 것들이 있을까요?"
33,응급질환,두통,예방,만성 두통을 예방하기 위해 어떤 수면 패턴이나 자세에 주의해야 할까요?
34,응급질환,두통,예방,만성 두통을 예방하기 위한 효과적인 방법이 있을까요?
35,응급질환,두통,예방,두통을 예방하는데 도움이 되는 일상생활 습관은 어떤 것이 있을까요?
36,응급질환,두통,예방,두통을 예방하는데 도움이 되는 예방접종이 있을까요?
37,응급질환,두통,예방,"두통이 심한데, 수면을 적절히 조절하는 방법이 있을까요?"
38,응급질환,두통,예방,두통과 관련된 증상을 줄이기 위해 필요한 수면 시간은 어떻게 되나요?
39,응급질환,두통,예방,약물 복용을 통해 미리 두통을 예방할 수 있는 효과적인 방법은 어떤 것이 있을까요?
40,응급질환,두통,예방,두통 예방을 위해 스트레스 관리가 중요한가요?
41,응급질환,두통,예방,부신종양 예방을 위해 운동이나 건강 관리 방법을 알고 싶어요.
42,응급질환,두통,예방,두통을 예방하기 위한 예방법 중에서 가장 중요한 것은 무엇인가요?
43,응급질환,두통,예방,두통을 예방하는데 약물 복용 외에 다른 예방 방법이 있는지 궁금합니다.
44,응급질환,두통,예방,두통과 관련된 증상을 예방하기 위해 어떤 수면 습관을 가지는 것이 좋을까요?
45,응급질환,두통,예방,스트레스가 두통에 영향을 미칠 수 있는 원인인가요? (두통의 지속시간이 2시간 이상인 경우)
46,응급질환,두통,예방,두통 예방을 위해 필요한 예방 조치는 무엇인가요?
47,응급질환,두통,예방,두통 예방을 위해 약을 미리 복용하는 것이 효과가 있는지 알고 싶습니다.
48,응급질환,두통,예방,두통을 예방하기 위해 어떤 조치를 취해야 할까요?
49,응급질환,두통,예방,갈색세포증의 증상을 개선하기 위해 건강에 좋은 운동이나 영양을 신경써야 할까요?
50,응급질환,두통,예방,두통 예방을 위해 일상적으로 신경써야 할 점은 무엇인가요?
51,응급질환,두통,예방,열나고 두통이 있을 때 전신 홍반성 낭창을 예방하기 위한 생활습관의 변화가 있을까요?
52,응급질환,두통,예방,두통을 예방하기 위한 효과적인 방법이 있을까요?
53,응급질환,두통,예방,갈색세포증의 증상을 완화시키기 위해 식이요법 외에 어떤 조치를 취해야 할까요?
